@relation map

@attribute offSize numeric
@attribute defSize numeric
@attribute offValue numeric
@attribute defValue numeric
@attribute averageAltitude numeric
@attribute minAltitude numeric
@attribute maxAltitude numeric
@attribute currentAltitude numeric
@attribute fovValue numeric
@attribute lastAction {shoot,follow,explore_off,explore_def,hunt,retreat, idle}
@attribute life numeric
@attribute impactProba numeric
@attribute victory {VICTORY,DEFEAT}
@attribute touch{YES, NO}

@data
3,0,77002.57,0.0,-71394.28,-137.04214,-110.67555,-122.71821,16580.512,shoot,6,0.0,DEFEAT,NO
0,0,0.0,0.0,-79293.32,-134.96587,-108.05598,-124.93781,21088.762,explore_off,8,0.0,DEFEAT,NO
3,0,81817.91,0.0,-91617.81,-139.67377,-107.630325,-132.66426,19107.297,explore_off,8,0.0,DEFEAT,NO
3,0,81817.91,0.0,-85377.43,-139.82283,-106.950294,-129.84825,17014.744,explore_off,8,0.44209108,DEFEAT,NO
3,0,81817.91,0.0,-89679.43,-138.80801,-109.06882,-130.38385,19530.465,explore_off,8,0.4882462,DEFEAT,NO
3,0,81817.91,0.0,-84203.25,-138.43665,-108.31459,-124.93365,18401.207,shoot,8,0.0,DEFEAT,NO
3,0,81817.91,0.0,-71556.34,-137.99423,-107.47635,-121.00447,17647.27,follow,8,0.65424,DEFEAT,NO
3,0,81817.91,0.0,-80658.97,-140.46953,-103.43229,-127.71607,17194.191,follow,6,0.0,DEFEAT,NO
0,0,0.0,0.0,-54779.89,-140.1958,-112.17674,-114.357574,16544.213,explore_off,10,0.0,DEFEAT,NO
0,0,0.0,0.0,-62196.832,-144.76215,-110.63808,-117.85725,16710.646,explore_off,8,0.5040943,DEFEAT,NO
1,0,27347.555,0.0,-60840.69,-138.24739,-111.58704,-120.384995,20333.273,explore_off,8,0.0,DEFEAT,NO
1,0,27347.555,0.0,-59034.734,-140.60315,-108.95227,-115.66565,13636.653,follow,6,0.0,DEFEAT,NO
1,0,27347.555,0.0,-79918.305,-141.66943,-112.09085,-126.63248,16710.318,follow,6,0.0,DEFEAT,NO
1,0,27347.555,0.0,-81569.92,-140.57892,-112.30219,-127.61935,18687.133,follow,4,0.0,DEFEAT,NO
1,0,27347.555,0.0,-85054.83,-142.59341,-108.19711,-129.01968,19682.87,follow,4,0.7013459,DEFEAT,NO
0,0,0.0,0.0,-86346.62,-139.07816,-108.62808,-128.252,17842.133,explore_off,10,0.0,DEFEAT,NO
0,0,0.0,0.0,-98970.46,-138.28517,-116.60798,-129.38922,20047.2,explore_off,10,0.40329626,DEFEAT,NO
2,0,55796.79,0.0,-84035.63,-144.08119,-108.31711,-127.111275,16320.56,explore_off,12,0.0,DEFEAT,NO
2,0,55796.79,0.0,-74867.24,-144.02234,-107.95122,-123.60909,14310.801,follow,12,0.0,DEFEAT,NO
2,0,55796.79,0.0,-80537.03,-138.6756,-110.07949,-124.47903,16871.652,shoot,12,0.0,DEFEAT,NO
2,0,55796.79,0.0,-72535.83,-138.52177,-109.20412,-121.597305,17120.006,follow,12,0.63137764,DEFEAT,NO
2,0,55796.79,0.0,-73392.01,-135.48734,-107.63545,-121.21447,18052.516,shoot,12,0.67334354,DEFEAT,NO
2,0,55796.79,0.0,-87353.57,-130.52731,-109.79054,-124.08881,21133.707,shoot,12,0.65570426,DEFEAT,NO
2,0,55796.79,0.0,-74571.125,-137.1569,-108.4619,-125.22561,17422.3,follow,8,0.0,DEFEAT,NO
2,0,55796.79,0.0,-84637.32,-137.24599,-107.58323,-128.37392,18996.008,follow,6,0.0,DEFEAT,NO
0,0,0.0,0.0,-97886.59,-252.5304,-119.893394,-137.71901,7836.3276,explore_off,12,0.0,DEFEAT,NO
0,0,0.0,0.0,-11556.571,-139.9242,-104.23917,-24.16894,14635.835,explore_off,12,0.6891861,DEFEAT,NO
1,0,29790.111,0.0,-85021.31,-142.39809,-106.92003,-129.63399,16412.596,explore_off,8,0.0,DEFEAT,NO
1,0,29790.111,0.0,-91385.96,-142.24509,-106.317856,-132.17786,18395.479,explore_off,8,0.5759904,DEFEAT,NO
1,0,29790.111,0.0,-88810.54,-142.75696,-104.06081,-131.72116,16950.465,follow,8,0.0,DEFEAT,NO
1,0,29790.111,0.0,-96036.03,-142.36668,-116.112015,-133.05193,19039.016,follow,8,0.70952964,DEFEAT,NO
1,0,29790.111,0.0,-90183.59,-141.46101,-113.58774,-131.48976,17973.578,follow,4,0.0,DEFEAT,NO
1,0,29790.111,0.0,-103683.42,-139.69041,-116.851456,-134.43343,20180.895,follow,4,0.6350597,DEFEAT,NO
0,0,0.0,0.0,-109207.555,-146.92648,-119.68217,-135.97453,19658.66,explore_off,12,0.0,DEFEAT,NO
0,0,0.0,0.0,-96470.79,-146.05103,-114.47815,-131.21802,18547.457,explore_off,12,0.42827228,DEFEAT,NO
0,0,0.0,0.0,-96470.79,-146.05103,-114.47815,-131.21802,18547.457,explore_off,12,0.42827228,DEFEAT,NO
0,0,0.0,0.0,-96470.79,-146.05103,-114.47815,-131.21802,18547.457,explore_off,12,0.42827228,DEFEAT,NO
0,0,0.0,0.0,-96470.79,-146.05103,-114.47815,-131.21802,18547.457,explore_off,12,0.42827228,DEFEAT,NO
0,0,0.0,0.0,-96470.79,-146.05103,-114.47815,-131.21802,18547.457,explore_off,12,0.42827228,DEFEAT,NO
0,0,0.0,0.0,-96470.79,-146.05103,-114.47815,-131.21802,18547.457,explore_off,12,0.42827228,DEFEAT,NO
0,0,0.0,0.0,-96470.79,-146.05103,-114.47815,-131.21802,18547.457,explore_off,12,0.42827228,DEFEAT,NO
0,0,0.0,0.0,-96470.79,-146.05103,-114.47815,-131.21802,18547.457,explore_off,12,0.42827228,DEFEAT,NO
0,0,0.0,0.0,-96470.79,-146.05103,-114.47815,-131.21802,18547.457,explore_off,12,0.42827228,DEFEAT,NO
0,0,0.0,0.0,-96470.79,-146.05103,-114.47815,-131.21802,18547.457,explore_off,12,0.42827228,DEFEAT,NO
0,0,0.0,0.0,-96470.79,-146.05103,-114.47815,-131.21802,18547.457,explore_off,12,0.42827228,DEFEAT,NO
0,0,0.0,0.0,-96470.79,-146.05103,-114.47815,-131.21802,18547.457,explore_off,12,0.42827228,DEFEAT,NO
0,0,0.0,0.0,-96470.79,-146.05103,-114.47815,-131.21802,18547.457,explore_off,12,0.42827228,DEFEAT,NO
